,question,answer,response,mapping,response_answer,equations
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39.0," Debby had c0 pieces of candy. Her sister had c1. So in total they had c0 + c1 pieces of candy.
total_candy = c0 + c1
After eating c2 pieces of candy, they had total_candy - c2 pieces of candy remaining.
remaining_candy = total_candy - c2
The answer is remaining_candy.","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",39.0,"['total_candy =  c0 + c1', 'remaining_candy =  total_candy - c2', 'answer = remaining_candy']"
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8.0," The pet store had c0 siamese cats and c1 house cats. So in total they had c0 + c1 cats. 
total_cats = c0 + c1
After the sale, they sold c2 cats. So they have total_cats - c2 cats left. 
remaining_cats = total_cats - c2
The answer is remaining_cats.","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",8.0,"['total_cats =  c0 + c1', 'remaining_cats =  total_cats - c2', 'answer = remaining_cats']"
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2.0," Luke started with c0 games. He bought c1 more. So he had c0 + c1 games. 
total_games = c0 + c1
Some of the games didn't work, so he had total_games - c2 games left that worked. 
good_games = total_games - c2
The answer is good_games.","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",2.0,"['total_games =  c0 + c1', 'good_games =  total_games - c2', 'answer = good_games']"
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40.0," The school cafeteria ordered c0 red apples and c1 green apples. But only c2 students wanted fruit. So the cafeteria had c0 + c1 - c2 apples left over.
extra_apples = c0 + c1 - c2
The answer is extra_apples.","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",40.0,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']"
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3.0," Lana picked c0 tulips and c1 roses. In total, she picked c0 + c1 flowers. 
total_flowers = c0 + c1
If she only used c2 of the flowers, she had (c0 + c1) - c2 extra flowers. 
extra_flowers = total_flowers - c2
The answer is extra_flowers.","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",3.0,"['total_flowers =  c0 + c1', 'extra_flowers =  total_flowers - c2', 'answer = extra_flowers']"
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7.0," Carol and her mom picked c0 + c1 carrots in total. If c2 of them were good, that means they had (c0 + c1) - c2 bad carrots.
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",7.0,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']"
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19.0," Roger had c0 dollars. He got c1 more dollars. So he had c0 + c1 dollars. But he spent c2 on a new game. So he has (c0 + c1) - c2 dollars now. 
dollars_now = (c0 + c1) - c2
The answer is dollars_now.","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",19.0,"['dollars_now =  (c0 + c1) - c2', 'answer = dollars_now']"
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2.0," Megan took c0 pictures at the zoo and c1 at the museum, so she had c0 + c1 pictures in total. 
total_pictures = c0 + c1
After deleting c2 pictures, she had total_pictures - c2 pictures remaining. 
remaining_pictures = total_pictures - c2
The answer is remaining_pictures.","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",2.0,"['total_pictures =  c0 + c1', 'remaining_pictures =  total_pictures - c2', 'answer = remaining_pictures']"
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11.0," Rachel started with c0 + c1 pictures. She colored c2. So she has (c0 + c1) - c2 pictures remaining. 
remaining_pictures = (c0 + c1) - c2
The answer is remaining_pictures.","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",11.0,"['remaining_pictures =  (c0 + c1) - c2', 'answer = remaining_pictures']"
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1.0," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts. In total, he had to wash c0 + c1 shirts. 
total_shirts = c0 + c1
If he only washed c2, then he didn't wash total_shirts - c2 shirts. 
shirts_not_washed = total_shirts - c2
The answer is shirts_not_washed.","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",1.0,"['total_shirts =  c0 + c1', 'shirts_not_washed =  total_shirts - c2', 'answer = shirts_not_washed']"
10," Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",66.0," Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts. So the total number of shirts he had to wash was c0 + c1. 
total_shirts = c0 + c1
If he only washed c2 of them, then he didn't wash (c0 + c1) - c2 shirts. 
shirts_not_washed = (c0 + c1) - c2
The answer is shirts_not_washed.","{'c0': 39.0, 'c1': 47.0, 'c2': 20.0}",66.0,"['total_shirts =  c0 + c1', 'shirts_not_washed =  (c0 + c1) - c2', 'answer = shirts_not_washed']"
11, For the school bake sale Wendy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,9.0," Wendy started with c0 cupcakes and c1 cookies. She sold some and was left with c2. So she must have sold c0 + c1 - c2 pastries.
pastries_sold = c0 + c1 - c2
The answer is pastries_sold.","{'c0': 4.0, 'c1': 29.0, 'c2': 24.0}",9.0,"['pastries_sold =  c0 + c1 - c2', 'answer = pastries_sold']"
12," While on vacation, Debby took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",22.0," Debby took c0 pictures at the zoo and c1 at the museum, so she had c0 + c1 pictures in total. 
total_pictures = c0 + c1
After deleting c2 pictures, she had total_pictures - c2 pictures remaining. 
remaining_pictures = total_pictures - c2
The answer is remaining_pictures.","{'c0': 24.0, 'c1': 12.0, 'c2': 14.0}",22.0,"['total_pictures =  c0 + c1', 'remaining_pictures =  total_pictures - c2', 'answer = remaining_pictures']"
13," Katie picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Katie pick? ",2.0," Katie picked c0 tulips and c1 roses. In total, she picked c0 + c1 flowers. 
total_flowers = c0 + c1
If she only used c2 of the flowers, she had (c0 + c1) - c2 extra flowers. 
extra_flowers = total_flowers - c2
The answer is extra_flowers.","{'c0': 3.0, 'c1': 9.0, 'c2': 10.0}",2.0,"['total_flowers =  c0 + c1', 'extra_flowers =  total_flowers - c2', 'answer = extra_flowers']"
14," Faye had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",15.0," Faye originally had c0 math problems and c1 science problems. So she had c0 + c1 total problems. 
total_problems = c0 + c1
After finishing c2 problems at school, she had to do total_problems - c2 problems for homework. 
problems_for_homework = total_problems - c2
The answer is problems_for_homework.","{'c0': 46.0, 'c1': 9.0, 'c2': 40.0}",15.0,"['total_problems =  c0 + c1', 'problems_for_homework =  total_problems - c2', 'answer = problems_for_homework']"
