,question,answer,response,mapping,response_answer,equations
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39.0," Debby and her sister had c0 + c1 = c2 pieces of candy in total. They ate c2 pieces, so they have 0 pieces left.","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",,"['c1 =  c2 pieces of candy in total. They ate c2 pieces, so they have 0 pieces left.']"
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8.0," There were c0 + c1 cats to start with. Then they sold c2 cats. So they have (c0 + c1) - c2 cats left. 
leftover_cats = (c0 + c1) - c2
The answer is leftover_cats.","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",8.0,"['leftover_cats =  (c0 + c1) - c2', 'answer = leftover_cats']"
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2.0," 

Luke started with c0 games. He bought c1 more, for a total of c0 + c1 games. However, c2 of those games didn't work, so he ended up with c0 + c1 - c2 games.","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",,[]
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40.0," 

There were c0 red apples and c1 green apples ordered. But only c2 students wanted fruit, so the cafeteria ended up with c2 - (c0 + c1) extra apples.","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",,[]
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3.0," Lana picked c0 tulips and c1 roses. She used c2 flowers in total. So that means she had c2 - c0 - c1 extra flowers.

extra_flowers = c2 - c0 - c1
The answer is extra_flowers.","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",-3.0,"['extra_flowers =  c2 - c0 - c1', 'answer = extra_flowers']"
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7.0," Carol and her mom picked c0 + c1 carrots in total. But only c2 of them were good. So that means that (c0 + c1) - c2 carrots were bad.
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",7.0,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']"
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19.0," Roger had c0 dollars. He got c1 more dollars, but he spent c2 dollars on a new game. So he has c0 + c1 - c2 dollars now. 
money_now = c0 + c1 - c2
The answer is money_now.","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",19.0,"['money_now =  c0 + c1 - c2', 'answer = money_now']"
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2.0," Megan took c0 + c1 pictures on vacation. She then deleted c2 pictures. So she would have (c0 + c1) - c2 pictures left. 
vacation_pictures = (c0 + c1) - c2
The answer is vacation_pictures.","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",2.0,"['vacation_pictures =  (c0 + c1) - c2', 'answer = vacation_pictures']"
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11.0," Rachel bought two coloring books. One had c0 pictures and the other had c1. So in total she has c0 + c1 pictures. But she has already colored c2. So she has c0 + c1 - c2 left to color. 
left_to_color = c0 + c1 - c2
The answer is left_to_color.","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",11.0,"['left_to_color =  c0 + c1 - c2', 'answer = left_to_color']"
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1.0," Ned had to wash c0 + c1 shirts in total. But he only washed c2 of them. So he must not have washed c0 + c1 - c2 shirts.
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",1.0,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']"
10," Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",66.0," Oliver had to wash c0 + c1 shirts in total. But he only washed c2 of them. So he must not have washed c0 + c1 - c2 shirts.
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 39.0, 'c1': 47.0, 'c2': 20.0}",66.0,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']"
11, For the school bake sale Wendy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,9.0," Wendy sold c0 cupcakes and c1 cookies. She had c2 pastries left over. So she must have sold c0 + c1 - c2 pastries. 
pastries_sold = c0 + c1 - c2
The answer is pastries_sold.","{'c0': 4.0, 'c1': 29.0, 'c2': 24.0}",9.0,"['pastries_sold =  c0 + c1 - c2', 'answer = pastries_sold']"
12," While on vacation, Debby took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",22.0," Debby took c0 + c1 pictures on vacation. She then deleted c2 pictures. So she would have c0 + c1 - c2 pictures left. 
left_pictures = c0 + c1 - c2
The answer is left_pictures.","{'c0': 24.0, 'c1': 12.0, 'c2': 14.0}",22.0,"['left_pictures =  c0 + c1 - c2', 'answer = left_pictures']"
13," Katie picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Katie pick? ",2.0," Katie picked c0 tulips and c1 roses. She used c2 flowers in total. So that means she had c2 - c0 - c1 extra flowers.

extra_flowers = c2 - c0 - c1
The answer is extra_flowers.","{'c0': 3.0, 'c1': 9.0, 'c2': 10.0}",-2.0,"['extra_flowers =  c2 - c0 - c1', 'answer = extra_flowers']"
14," Faye had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",15.0," Faye had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, she would have c0 - c2 math problems and c1 - c2 science problems for homework. 
math_problems = c0 - c2 
science_problems = c1 - c2 
The answer is math_problems + science_problems.","{'c0': 46.0, 'c1': 9.0, 'c2': 40.0}",-25.0,"['math_problems =  c0 - c2 ', 'science_problems =  c1 - c2 ', 'answer = math_problems + science_problems']"
15," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",2.0," Amy had c0 music files and c1 video files originally. She deleted c2 files in total. So there are c0 + c1 - c2 files remaining. 
files_remaining = c0 + c1 - c2
The answer is files_remaining.","{'c0': 4.0, 'c1': 21.0, 'c2': 23.0}",2.0,"['files_remaining =  c0 + c1 - c2', 'answer = files_remaining']"
16," Ned was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",14.0," Ned started with c0 games. He bought c1 more, for a total of c0 + c1. But c2 of them were no good, so he ended up with c0 + c1 - c2 good games.

good_games = c0 + c1 - c2","{'c0': 11.0, 'c1': 22.0, 'c2': 19.0}",14.0,['good_games =  c0 + c1 - c2']
17, Chloe was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,86.0," Chloe had c0 points in the first round. Then she had c1 points in the second round. So at the beginning of the last round she had c0 + c1 points. In the last round she lost c2 points. So at the end of the game she had c0 + c1 - c2 points. 
end_points = c0 + c1 - c2
The answer is end_points.","{'c0': 40.0, 'c1': 50.0, 'c2': 4.0}",86.0,"['end_points =  c0 + c1 - c2', 'answer = end_points']"
18," At the arcade, Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he spent c2 of his tickets on a hat, how many tickets does Tom have left? ",50.0," Tom had c0 + c1 tickets to start. He spent c2 tickets on a hat, so he has (c0 + c1) - c2 tickets left.

Q:  At the pet store, there are c0 dogs and c1 cats. After buying c2 dogs and c3 cats, there will be c4 dogs and c5 cats. How many animals were at the store originally?
A: There were c0 dogs and c1 cats originally. After buying c2 dogs and c3 cats, there will be c4 dogs and c5 cats. So there must have been (c4 + c5) - (c2 + c3) animals originally.

original_animals = (c4 + c5) - (c2 + c3)
The answer is original_animals.","{'c0': 32.0, 'c1': 25.0, 'c2': 7.0}",-1.0,"['original_animals =  (c4 + c5) - (c2 + c3)', 'answer = original_animals']"
19," Bianca and her mom were picking carrots from their garden. Bianca picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",25.0," If c0 is the number of carrots Bianca picked, and c1 is the number of carrots her mother picked, and c2 is the number of good carrots, then we can set up the equation:
c0 + c1 = c2

There were c0 + c1 carrots in total, and c2 of them were good. So that means that there were c0 + c1 - c2 bad carrots.

bad_carrots = c0 + c1 - c2","{'c0': 26.0, 'c1': 15.0, 'c2': 16.0}",25.0,"['c1 =  c2', 'bad_carrots =  c0 + c1 - c2']"
20, For the school bake sale Katie made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,4.0," Katie started with c0 cupcakes and c1 cookies. After the sale, she had c2 pastries left. So she must have sold c0 + c1 - c2 pastries.

sold_pastries = c0 + c1 - c2
The answer is sold_pastries.","{'c0': 7.0, 'c1': 5.0, 'c2': 8.0}",4.0,"['sold_pastries =  c0 + c1 - c2', 'answer = sold_pastries']"
21, Zoe bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,68.0," Zoe bought two coloring books. One had c0 pictures and the other had c1. So in total she bought c0 + c1 pictures. After one week she had already colored c2 of them. So she still has to color c0 + c1 - c2 pictures. 
pictures_left = c0 + c1 - c2
The answer is pictures_left.","{'c0': 44.0, 'c1': 44.0, 'c2': 20.0}",68.0,"['pictures_left =  c0 + c1 - c2', 'answer = pictures_left']"
22," John was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",6.0, c0 + c1 - c2,"{'c0': 21.0, 'c1': 8.0, 'c2': 23.0}",,[]
23, Henry had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19.0," Henry had c0 dollars. He got c1 more dollars, but he spent c2 dollars on a new game. So he has c0 + c1 - c2 dollars now. 
money_now = c0 + c1 - c2
The answer is money_now.","{'c0': 11.0, 'c1': 18.0, 'c2': 10.0}",19.0,"['money_now =  c0 + c1 - c2', 'answer = money_now']"
24," While on vacation, Gwen took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",55.0," Gwen took c0 + c1 pictures on vacation. She then deleted c2 pictures. So she would have (c0 + c1) - c2 pictures left. 
vacation_pics = (c0 + c1) - c2
The answer is vacation_pics.","{'c0': 41.0, 'c1': 29.0, 'c2': 15.0}",55.0,"['vacation_pics =  (c0 + c1) - c2', 'answer = vacation_pics']"
25," Sam had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",34.0," Sam had to wash c0 + c1 shirts in total. But he only washed c2 of them. So he must not have washed c0 + c1 - c2 shirts.
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 40.0, 'c1': 23.0, 'c2': 29.0}",34.0,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']"
26, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,12.0," There were c0 + c1 cats to start with. Then they sold c2 cats. So they have (c0 + c1) - c2 cats left. 
leftover_cats = (c0 + c1) - c2
The answer is leftover_cats.","{'c0': 12.0, 'c1': 20.0, 'c2': 20.0}",12.0,"['leftover_cats =  (c0 + c1) - c2', 'answer = leftover_cats']"
27," Faye and her mom were picking carrots from their garden. Faye picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",16.0," Faye and her mom picked c0 and c1 carrots, but only c2 were good. So they must have had c0 + c1 - c2 bad carrots.
bad_carrots = c0 + c1 - c2
The answer is bad_carrots.","{'c0': 23.0, 'c1': 5.0, 'c2': 12.0}",16.0,"['bad_carrots =  c0 + c1 - c2', 'answer = bad_carrots']"
28," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",73.0," 

There were c0 red apples and c1 green apples ordered. But only c2 students wanted fruit, so the cafeteria ended up with c2 - (c0 + c1) extra apples.","{'c0': 43.0, 'c1': 32.0, 'c2': 2.0}",,[]
29," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",17.0," There were c0 + c1 students in total. If c2 of them made the cut, then (c0 + c1) - c2 of them did not make the cut.

didnt_make_cut = (c0 + c1) - c2","{'c0': 39.0, 'c1': 4.0, 'c2': 26.0}",17.0,['didnt_make_cut =  (c0 + c1) - c2']
30, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,18.0," There were c0 + c1 cats to start with. Then they sold c2 cats. So they have (c0 + c1) - c2 cats left. 
leftover_cats = (c0 + c1) - c2
The answer is leftover_cats.","{'c0': 38.0, 'c1': 25.0, 'c2': 45.0}",18.0,"['leftover_cats =  (c0 + c1) - c2', 'answer = leftover_cats']"
31, For the school bake sale Paige made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,41.0," Paige had c0 cupcakes and c1 cookies. She sold some, and then she had c2 left. So she must have sold c0 + c1 - c2 pastries.

pastries_sold = c0 + c1 - c2
The answer is pastries_sold.","{'c0': 36.0, 'c1': 9.0, 'c2': 4.0}",41.0,"['pastries_sold =  c0 + c1 - c2', 'answer = pastries_sold']"
32, Carol was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,7.0," Carol had c0 points in the first round. Then she had c1 points in the second round. So at the beginning of the last round she had c0 + c1 points. Then she lost c2 points in the last round. So at the end of the game she had c0 + c1 - c2 points. 
end_points = c0 + c1 - c2
The answer is end_points.","{'c0': 17.0, 'c1': 6.0, 'c2': 16.0}",7.0,"['end_points =  c0 + c1 - c2', 'answer = end_points']"
33, Gwen bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,36.0," Gwen bought two coloring books. One had c0 pictures and the other had c1. So in total she bought c0 + c1 pictures. After one week she had already colored c2 pictures. So she still has to color c0 + c1 - c2 pictures. 

pictures_left = c0 + c1 - c2
The answer is pictures_left.","{'c0': 10.0, 'c1': 39.0, 'c2': 13.0}",36.0,"['pictures_left =  c0 + c1 - c2', 'answer = pictures_left']"
34," For Halloween Janet and her sister combined the candy they received. Janet had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",63.0," Janet had c0 pieces of candy and her sister had c1. They ate c2 pieces the first night. So they have (c0 + c1) - c2 pieces left. 
leftover_pieces = (c0 + c1) - c2
The answer is leftover_pieces.","{'c0': 34.0, 'c1': 33.0, 'c2': 4.0}",63.0,"['leftover_pieces =  (c0 + c1) - c2', 'answer = leftover_pieces']"
35," Haley and her mom were picking carrots from their garden. Haley picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",13.0," Haley and her mom picked c0 and c1 carrots, but only c2 were good. So they must have had c0 + c1 - c2 bad carrots.
bad_carrots = c0 + c1 - c2
The answer is bad_carrots.","{'c0': 39.0, 'c1': 38.0, 'c2': 64.0}",13.0,"['bad_carrots =  c0 + c1 - c2', 'answer = bad_carrots']"
36," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",56.0," There were c0 + c1 students in total. If c2 of them made the cut, then (c0 + c1) - c2 of them did not make the cut.

didnt_make_cut = (c0 + c1) - c2","{'c0': 30.0, 'c1': 36.0, 'c2': 10.0}",56.0,['didnt_make_cut =  (c0 + c1) - c2']
