,question,answer,response,mapping,response_answer,equations,correct
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39,"Debby and her sister had c0 + c1 pieces of candy combined. After eating c2 pieces, they have (c0 + c1) - c2 pieces left. 
The answer is (c0 + c1) - c2.","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",39,['answer = (c0 + c1) - c2'],1
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8,"The pet store originally had c0 + c1 cats. After the sale, they sold c2 cats, so they have c0 + c1 - c2 cats left. The answer is c0 + c1 - c2.","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",8,['The pet store originally had c0 + c1 cats'],1
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2,"Luke started with c0 games and bought c1 more, so he had c0 + c1 games in total. If c2 of those games didn't work, then he ended up with (c0 + c1) - c2 good games. 
good_games = (c0 + c1) - c2
The answer is good_games.","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",2,"['good_games =  (c0 + c1) - c2', 'answer = good_games']",1
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40,"The cafeteria ordered c0 red apples and c1 green apples, so they ordered a total of c0 + c1 apples. But if only c2 students wanted fruit, then the cafeteria ended up with extra apples. To find out how many extra apples they have, we need to subtract the number of apples that were actually used from the total number of apples ordered. If each student gets one apple, then the number of apples used is just c2. So the number of extra apples is:

extra_apples = (c0 + c1) - c2

The answer is extra_apples.","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",40,"['extra_apples =  (c0 + c1) - c2', 'answer = extra_apples']",1
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3,"Lana picked c0 tulips and c1 roses, so she picked a total of c0 + c1 flowers. If she only used c2 of them, then she must have picked c0 + c1 - c2 extra flowers that were not used in the bouquets. 
extra_flowers = c0 + c1 - c2
The answer is extra_flowers.","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",3,"['extra_flowers =  c0 + c1 - c2', 'answer = extra_flowers']",1
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"If there were c2 good carrots, then the total number of carrots they picked must have been c0 + c1. Therefore, the number of bad carrots they had is the total number of carrots minus the number of good carrots:
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",7,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19,"Roger had c0 dollars originally. He got c1 more dollars for his birthday, so he now has c0 + c1 dollars. However, he spent c2 on a new game, so he now has c0 + c1 - c2 dollars. 
The answer is c0 + c1 - c2.","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",19,['answer = c0 + c1 - c2'],1
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2,"Megan took c0 + c1 pictures in total. After deleting c2 pictures, she was left with c0 + c1 - c2 pictures. 
The answer is c0 + c1 - c2.","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",2,['answer = c0 + c1 - c2'],1
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11,"Rachel had c0 + c1 pictures in total. After coloring c2 pictures, she still has c0 + c1 - c2 pictures left to color. 
pictures_left = c0 + c1 - c2
The answer is pictures_left.","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",11,"['pictures_left =  c0 + c1 - c2', 'answer = pictures_left']",1
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1,"Ned had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",1,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
10," Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",66,"Oliver had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 39.0, 'c1': 47.0, 'c2': 20.0}",66,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
11, For the school bake sale Wendy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,9,"Wendy made c0 cupcakes and c1 cookies, so she made a total of c0 + c1 pastries. After the sale, she had c2 pastries left, so she must have sold c0 + c1 - c2 pastries. 
pastries_sold = c0 + c1 - c2
The answer is pastries_sold.","{'c0': 4.0, 'c1': 29.0, 'c2': 24.0}",9,"['pastries_sold =  c0 + c1 - c2', 'answer = pastries_sold']",1
12," While on vacation, Debby took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",22,"Debby took c0 pictures at the zoo and c1 at the museum, so she had a total of c0 + c1 pictures. If she deleted c2 pictures, she would have c0 + c1 - c2 pictures left. Therefore, she still had c0 + c1 - c2 pictures from her vacation.","{'c0': 24.0, 'c1': 12.0, 'c2': 14.0}",22,[],1
13," Katie picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Katie pick? ",2,"Katie picked c0 tulips and c1 roses, so she picked a total of c0 + c1 flowers. If she only used c2 of them, then she must have picked c0 + c1 - c2 extra flowers that were not used in the bouquets. 
extra_flowers = c0 + c1 - c2
The answer is extra_flowers.","{'c0': 3.0, 'c1': 9.0, 'c2': 10.0}",2,"['extra_flowers =  c0 + c1 - c2', 'answer = extra_flowers']",1
14," Faye had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",15,"Faye had c0 + c1 total problems for homework. If she finished c2 of them at school, then she still has c0 + c1 - c2 problems left to do for homework. The answer is c0 + c1 - c2.","{'c0': 46.0, 'c1': 9.0, 'c2': 40.0}",15,['Faye had c0 + c1 total problems for homework'],1
15," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",2,"Amy had c0 + c1 total files on her flash drive. After deleting c2 files, she would have c0 + c1 - c2 files remaining. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 4.0, 'c1': 21.0, 'c2': 23.0}",2,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']",1
16," Ned was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",14,"Ned started with c0 games and bought c1 more, so he had a total of c0 + c1 games. If c2 of those games didn't work, then he ended up with c0 + c1 - c2 good games. Therefore, the answer is c0 + c1 - c2.","{'c0': 11.0, 'c1': 22.0, 'c2': 19.0}",14,[],1
17, Chloe was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,86,"Chloe's total score at the end of the game would be the sum of her scores in the first two rounds, minus the points she lost in the last round. 
total_score = c0 + c1 - c2
The answer is total_score.","{'c0': 40.0, 'c1': 50.0, 'c2': 4.0}",86,"['total_score =  c0 + c1 - c2', 'answer = total_score']",1
18," At the arcade, Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he spent c2 of his tickets on a hat, how many tickets does Tom have left? ",50,"Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball', so he had a total of c0 + c1 tickets. If he spent c2 tickets on a hat, he now has c0 + c1 - c2 tickets left. Therefore, Tom has c0 + c1 - c2 tickets left.","{'c0': 32.0, 'c1': 25.0, 'c2': 7.0}",50,[],1
19," Bianca and her mom were picking carrots from their garden. Bianca picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",25,"If c2 of the carrots were good, then the total number of carrots they picked must have been c0 + c1. 
total_carrots = c0 + c1
The number of bad carrots they had is the difference between the total number of carrots and the number of good carrots. 
bad_carrots = total_carrots - c2
The answer is bad_carrots.","{'c0': 26.0, 'c1': 15.0, 'c2': 16.0}",25,"['total_carrots =  c0 + c1', 'bad_carrots =  total_carrots - c2', 'answer = bad_carrots']",1
20, For the school bake sale Katie made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,4,"Katie made c0 cupcakes and c1 cookies, so the total number of pastries she made is c0 + c1. 
She took c2 pastries back home, so the number of pastries she sold is the difference between the total number of pastries she made and the number she took back home: 
pastries_sold = (c0 + c1) - c2 
The answer is pastries_sold.","{'c0': 7.0, 'c1': 5.0, 'c2': 8.0}",4,"['pastries_sold =  (c0 + c1) - c2 ', 'answer = pastries_sold']",1
21, Zoe bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,68,"Zoe started with c0 + c1 pictures in total. After coloring c2 pictures, she has c0 + c1 - c2 pictures left to color. 
pictures_left = c0 + c1 - c2
The answer is pictures_left.","{'c0': 44.0, 'c1': 44.0, 'c2': 20.0}",68,"['pictures_left =  c0 + c1 - c2', 'answer = pictures_left']",1
